can_id,fill_level,battery_level,overflow_flag,log_time
1,10.5,95.83,False,2026-03-08 21:51:31.935883
1,11.17,95.8,False,2026-03-08 22:51:31.935883
1,12.27,95.78,False,2026-03-08 23:51:31.935883
1,12.71,95.73,False,2026-03-09 00:51:31.935883
1,12.75,95.7,False,2026-03-09 01:51:31.935883
1,12.89,95.69,False,2026-03-09 02:51:31.935883
1,13.17,95.64,False,2026-03-09 03:51:31.935883
1,13.22,95.61,False,2026-03-09 04:51:31.935883
1,13.25,95.58,False,2026-03-09 05:51:31.935883
1,14.68,95.55,False,2026-03-09 06:51:31.935883
1,15.52,95.53,False,2026-03-09 07:51:31.935883
1,19.64,95.51,False,2026-03-09 08:51:31.935883
1,24.51,95.46,False,2026-03-09 09:51:31.935883
1,26.73,95.43,False,2026-03-09 10:51:31.935883
1,27.23,95.4,False,2026-03-09 11:51:31.935883
1,29.58,95.38,False,2026-03-09 12:51:31.935883
1,32.16,95.33,False,2026-03-09 13:51:31.935883
1,36.99,95.28,False,2026-03-09 14:51:31.935883
1,37.53,95.27,False,2026-03-09 15:51:31.935883
1,39.39,95.25,False,2026-03-09 16:51:31.935883
1,44.18,95.21,False,2026-03-09 17:51:31.935883
1,47.56,95.18,False,2026-03-09 18:51:31.935883
1,52.54,95.15,False,2026-03-09 19:51:31.935883
1,53.93,95.14,False,2026-03-09 20:51:31.935883
1,55.04,95.1,False,2026-03-09 21:51:31.935883
1,56.28,95.05,False,2026-03-09 22:51:31.935883
1,56.96,95.01,False,2026-03-09 23:51:31.935883
1,57.09,94.98,False,2026-03-10 00:51:31.935883
1,57.26,94.96,False,2026-03-10 01:51:31.935883
1,57.52,94.94,False,2026-03-10 02:51:31.935883
1,57.81,94.89,False,2026-03-10 03:51:31.935883
1,57.89,94.88,False,2026-03-10 04:51:31.935883
1,58.2,94.87,False,2026-03-10 05:51:31.935883
1,59.24,94.82,False,2026-03-10 06:51:31.935883
1,60.0,94.77,False,2026-03-10 07:51:31.935883
1,63.05,94.75,False,2026-03-10 08:51:31.935883
1,67.16,94.71,False,2026-03-10 09:51:31.935883
1,71.03,94.68,False,2026-03-10 10:51:31.935883
1,71.72,94.64,False,2026-03-10 11:51:31.935883
1,75.06,94.62,False,2026-03-10 12:51:31.935883
1,78.36,94.59,False,2026-03-10 13:51:31.935883
1,82.51,94.58,False,2026-03-10 14:51:31.935883
1,10.93,94.55,False,2026-03-10 15:51:31.935883
1,12.36,94.53,False,2026-03-10 16:51:31.935883
1,14.95,94.51,False,2026-03-10 17:51:31.935883
1,17.84,94.47,False,2026-03-10 18:51:31.935883
1,21.1,94.46,False,2026-03-10 19:51:31.935883
1,22.95,94.44,False,2026-03-10 20:51:31.935883
1,23.81,94.39,False,2026-03-10 21:51:31.935883
1,24.55,94.37,False,2026-03-10 22:51:31.935883
1,25.86,94.33,False,2026-03-10 23:51:31.935883
1,26.15,94.31,False,2026-03-11 00:51:31.935883
1,26.52,94.3,False,2026-03-11 01:51:31.935883
1,26.86,94.29,False,2026-03-11 02:51:31.935883
1,27.27,94.28,False,2026-03-11 03:51:31.935883
1,27.71,94.26,False,2026-03-11 04:51:31.935883
1,27.85,94.21,False,2026-03-11 05:51:31.935883
1,28.83,94.19,False,2026-03-11 06:51:31.935883
1,29.44,94.16,False,2026-03-11 07:51:31.935883
1,33.87,94.11,False,2026-03-11 08:51:31.935883
1,37.56,94.1,False,2026-03-11 09:51:31.935883
1,42.04,94.05,False,2026-03-11 10:51:31.935883
1,43.45,94.01,False,2026-03-11 11:51:31.935883
1,48.28,94.0,False,2026-03-11 12:51:31.935883
1,51.76,93.96,False,2026-03-11 13:51:31.935883
1,56.27,93.93,False,2026-03-11 14:51:31.935883
1,58.15,93.91,False,2026-03-11 15:51:31.935883
1,59.45,93.87,False,2026-03-11 16:51:31.935883
1,64.36,93.83,False,2026-03-11 17:51:31.935883
1,68.75,93.78,False,2026-03-11 18:51:31.935883
1,71.58,93.76,False,2026-03-11 19:51:31.935883
1,73.29,93.74,False,2026-03-11 20:51:31.935883
1,75.12,93.72,False,2026-03-11 21:51:31.935883
1,75.66,93.68,False,2026-03-11 22:51:31.935883
1,77.14,93.66,False,2026-03-11 23:51:31.935883
1,77.2,93.63,False,2026-03-12 00:51:31.935883
1,77.33,93.59,False,2026-03-12 01:51:31.935883
1,77.72,93.54,False,2026-03-12 02:51:31.935883
1,77.73,93.53,False,2026-03-12 03:51:31.935883
1,77.73,93.49,False,2026-03-12 04:51:31.935883
1,77.74,93.48,False,2026-03-12 05:51:31.935883
1,78.5,93.45,False,2026-03-12 06:51:31.935883
1,80.03,93.41,False,2026-03-12 07:51:31.935883
1,10.64,93.39,False,2026-03-12 08:51:31.935883
1,13.49,93.36,False,2026-03-12 09:51:31.935883
1,17.15,93.31,False,2026-03-12 10:51:31.935883
1,18.08,93.29,False,2026-03-12 11:51:31.935883
1,20.27,93.26,False,2026-03-12 12:51:31.935883
1,24.41,93.24,False,2026-03-12 13:51:31.935883
1,28.57,93.22,False,2026-03-12 14:51:31.935883
1,30.28,93.18,False,2026-03-12 15:51:31.935883
1,31.53,93.16,False,2026-03-12 16:51:31.935883
1,35.25,93.13,False,2026-03-12 17:51:31.935883
1,39.13,93.1,False,2026-03-12 18:51:31.935883
1,42.42,93.06,False,2026-03-12 19:51:31.935883
1,44.41,93.02,False,2026-03-12 20:51:31.935883
1,45.98,92.98,False,2026-03-12 21:51:31.935883
1,47.55,92.93,False,2026-03-12 22:51:31.935883
1,49.1,92.91,False,2026-03-12 23:51:31.935883
1,49.32,92.9,False,2026-03-13 00:51:31.935883
1,49.42,92.87,False,2026-03-13 01:51:31.935883
1,49.82,92.84,False,2026-03-13 02:51:31.935883
1,50.31,92.8,False,2026-03-13 03:51:31.935883
1,50.81,92.76,False,2026-03-13 04:51:31.935883
1,51.12,92.75,False,2026-03-13 05:51:31.935883
1,52.57,92.74,False,2026-03-13 06:51:31.935883
1,54.25,92.71,False,2026-03-13 07:51:31.935883
1,58.77,92.68,False,2026-03-13 08:51:31.935883
1,60.77,92.67,False,2026-03-13 09:51:31.935883
1,62.89,92.63,False,2026-03-13 10:51:31.935883
1,64.75,92.59,False,2026-03-13 11:51:31.935883
1,67.08,92.56,False,2026-03-13 12:51:31.935883
1,69.19,92.52,False,2026-03-13 13:51:31.935883
1,72.89,92.48,False,2026-03-13 14:51:31.935883
1,74.86,92.46,False,2026-03-13 15:51:31.935883
1,75.94,92.43,False,2026-03-13 16:51:31.935883
1,78.11,92.4,False,2026-03-13 17:51:31.935883
1,80.18,92.35,False,2026-03-13 18:51:31.935883
1,7.95,92.31,False,2026-03-13 19:51:31.935883
1,9.61,92.27,False,2026-03-13 20:51:31.935883
1,10.62,92.23,False,2026-03-13 21:51:31.935883
1,12.37,92.2,False,2026-03-13 22:51:31.935883
1,12.87,92.17,False,2026-03-13 23:51:31.935883
1,12.91,92.14,False,2026-03-14 00:51:31.935883
